FileName_hintX|Original Japanese Sentence|Hint|English Translation
BASIC5000_3499_hint1|一味が会社で料理を好むことがばれることが、路線転換になり、料理に親しむことの重要性を意味することが大きくなった。|会社で料理|Everyone realized that the group liked cooking at the company. This was an opportunity to tell the importance of cooking.
BASIC5000_3499_hint2|一味が会社で料理を好むことがばれることが、路線転換になり、料理に親しむことの重要性を意味することが大きくなった。|会社でばれる|At the company, everyone realized that the group liked cooking. This was an opportunity to tell the importance of cooking.
BASIC5000_3505_hint1|夜会巻きをソツなくこなし、ぐー子も羨む女子力の高い美人だが、男運が悪く、趣味はお見合い。|ぐー子も羨む女子力|The beautiful woman arranges her hair and Guko envies the woman's femineity. However, the woman does not have a boyfriend, so she joins matchmaking events.
BASIC5000_3505_hint2|夜会巻きをソツなくこなし、ぐー子も羨む女子力の高い美人だが、男運が悪く、趣味はお見合い。|ぐー子も羨む美人|The woman arranges her hair beautifully and Guko envies the woman's good appearance with femineity. However, the woman does not have a boyfriend, so she joins matchmaking events.
BASIC5000_3516_hint1|母はニッケルを後継ぎにさせるために、ライバルとなる異母兄弟たちを多数暗殺しており、ニッケルはそんな母を咎める気持ちを持ちつつ愛している。|母を咎める|In order for Nickel to become an inheritor, his mother assassinated many rival step-brothers. He blames his mother for what she did but loves her.
BASIC5000_3516_hint2|母はニッケルを後継ぎにさせるために、ライバルとなる異母兄弟たちを多数暗殺しており、ニッケルはそんな母を咎める気持ちを持ちつつ愛している。|母を愛している|In order for Nickel to become an inheritor, his mother assassinated many rival step-brothers. He loves his mother but blames her for what she did.
BASIC5000_3543_hint1|記載内容の独自性を損なうことなく、見易さ、読みやすさを増すために統一したスタイルを導入することを促進します。|増すために統一した|I will promote the introduction of a unified style to increase visibility and readability without reducing originality in the contents.
BASIC5000_3543_hint2|記載内容の独自性を損なうことなく、見易さ、読みやすさを増すために統一したスタイルを導入することを促進します。|増すために導入する|In order to increase visibility and readability without reducing originality in the contents, I will promote the introduction of a unified style.
BASIC5000_3553_hint1|入植白人たちは、毒入りの肉や、天然痘に感染したインディアンの毛布を狼に与えた。|天然痘に感染したインディアン|The immigrant white people gave wolves poisoned meat and blankets of native Indians who were infected with smallpox.
BASIC5000_3553_hint2|入植白人たちは、毒入りの肉や、天然痘に感染したインディアンの毛布を狼に与えた。|天然痘に感染した毛布|The immigrant white people gave wolves poisoned meat and native Indians' blankets infected with smallpox.
BASIC5000_3563_hint1|特命を帯びた軍団と、金塊を強奪し、東側のエージェントとして動く組織とのバトル。|軍団と一緒に金塊を強奪する|A battle with the organization that seized gold with a special assignment group and works as an east-side agent.
BASIC5000_3563_hint3|特命を帯びた軍団と、金塊を強奪し、東側のエージェントとして動く組織とのバトル。|[軍団＆金塊]を強奪する|A battle with the organization that works as the east-side agent that seized gold and a special assignment group.
BASIC5000_3563_hint2|特命を帯びた軍団と、金塊を強奪し、東側のエージェントとして動く組織とのバトル。|軍団と組織とのバトル|A battle between the special assignment group and the organization that seized gold and works as an east-side agent.
BASIC5000_3569_hint1|アゴラは中央集権制度にかわって食料の再配分を行なうための制度となり、民衆に食物を供給し、新鮮な食材や、調理ずみの食品が売られた。|中央集権制度にかわって再配分する|Agora became the system for food re-distribution instead of the central government and provided the public with food; therefore, fresh ingredients and cooked products were sold.
BASIC5000_3569_hint2|アゴラは中央集権制度にかわって食料の再配分を行なうための制度となり、民衆に食物を供給し、新鮮な食材や、調理ずみの食品が売られた。|中央集権制度が別の制度に変化する|The central government changed to agora, a system for food re-distribution to provide the public with food; therefore, fresh ingredients and cooked products were sold.
BASIC5000_3575_hint1|抽象的ベクトル空間の理論において、基底変換の概念は影響の少ないもので、わずかな自然科学の法則を与えるものに過ぎないように思われる。|基底変換の概念は影響が少ない|In the theory of abstract vector spaces, it is considered that there are small effects of the base conversion concepts and only a few natural science rules.
BASIC5000_3575_hint2|抽象的ベクトル空間の理論において、基底変換の概念は影響の少ないもので、わずかな自然科学の法則を与えるものに過ぎないように思われる。|基底変換の概念は自然科学の法則を与える|In the theory of abstract vector spaces, it is considered that there is only a few natural science rules provided by the base conversion concepts.
BASIC5000_3603_hint1|もはや生きることを望まないエルフの魂は、肉体を抜け出して、マンドスの館に憩うことができる。|望まないエルフ|The elf does not want to live anymore, and the soul escapes from the body and can stay at the house of Mandos.
BASIC5000_3603_hint2|もはや生きることを望まないエルフの魂は、肉体を抜け出して、マンドスの館に憩うことができる。|望まない魂|The soul of the elf does not want to live anymore and escapes from the body and stays at the house of Mandos.
BASIC5000_3608_hint1|集落の小さな社だが、今に伝わる由緒から、縁結びや安産などのご利益があるとされる。|集落が小さい|The Shinto shrine is located in a small community, but it is famous for receiving a blessing of marriage and easy delivery from ancient times to the present.
BASIC5000_3608_hint2|集落の小さな社だが、今に伝わる由緒から、縁結びや安産などのご利益があるとされる。|社が小さい|It is a small Shinto shrine in the community, but it is famous for receiving a blessing of marriage and easy delivery from ancient times to the present.
BASIC5000_3615_hint1|公家が邸宅に入浴施設を取り入れ始めた平安時代ごろから、集落の密集した都市には、入浴をサービスとして提供する、町湯が現れたといわれている。|平安時代ごろから密集した|Since around the Heian Era, when many communities were established in the cities, the nobility started to introduce a bathroom in their house and the culture of public baths was born.
BASIC5000_3615_hint2|公家が邸宅に入浴施設を取り入れ始めた平安時代ごろから、集落の密集した都市には、入浴をサービスとして提供する、町湯が現れたといわれている。|平安時代ごろから現れた|Since around the Heian Era, when the nobility started to introduce a bathroom in their house, the culture of public baths was born in cities with many communities.
BASIC5000_3616_hint1|運河沿いに繁る楓と、点々と灯る川のいさり火の光が、旅の愁いの浅い眠りにチラチラかすめる。|点々と灯る川|While sleeping shallowly during my journey, I saw untrimmed maple trees along the canal and scattered fire to attract fish on the illuminating river.
BASIC5000_3616_hint2|運河沿いに繁る楓と、点々と灯る川のいさり火の光が、旅の愁いの浅い眠りにチラチラかすめる。|点々と灯る光|While sleeping shallowly during my journey, I saw untrimmed maple trees along the canal and illuminating scattered fire to attract fish on the river.
BASIC5000_3617_hint1|塗膜の上塗り及び下層に対する接着性が良く、亀裂の発生も少ない。|[塗膜の上塗り]及び[下層]|The overcoating of the paint film and the adhesiveness to the bottom layer are good, and there are not many cracks.
BASIC5000_3617_hint2|塗膜の上塗り及び下層に対する接着性が良く、亀裂の発生も少ない。|塗膜の[上塗り及び下層]に対する接着性|The adhesiveness of the paint film to the overcoating and bottom layer is good, and there are not many cracks.
BASIC5000_3621_hint1|有名なおとぎ話や、偉人の逸話を元としたパロディの話。|おとぎ話や逸話|They are parodies based on famous fairy tales and biographies of great people.
BASIC5000_3621_hint2|有名なおとぎ話や、偉人の逸話を元としたパロディの話。|おとぎ話やパロディの話|They are famous fairy tales and parodies based on biographies of great people.
BASIC5000_3623_hint1|戦闘機や戦車などのグラフィックの多くは、第二次世界大戦以降使用されているものを模倣しており、プレイして、現代世界で戦争をしているという緊張感がある。|第二次世界大戦以降使用されている|Most of the combat aircraft and tank graphics are imitations of real aircraft and tanks that have been used after WWII. When playing the game, we feel tension of fighting in the present world.
BASIC5000_3623_hint2|戦闘機や戦車などのグラフィックの多くは、第二次世界大戦以降使用されているものを模倣しており、プレイして、現代世界で戦争をしているという緊張感がある。|第二次世界大戦以降模倣している|After WWII, most of the combat aircraft and tank graphics became imitations of real aircraft and tanks, which are still being used. When playing the game, we feel tension of fighting in the present world.
BASIC5000_3661_hint1|負荷が単純な電気抵抗である場合、電圧の実効値と、電流の実効値の積は、電力と等しくなるように定義されている。|負荷が単純|If the load of electric resistance is simple, the product of an rms value of voltage and an rms value of current is defined as the equivalent to electric power.
BASIC5000_3661_hint2|負荷が単純な電気抵抗である場合、電圧の実効値と、電流の実効値の積は、電力と等しくなるように定義されている。|単純な電気抵抗|If the load is simple electric resistance, the product of an rms value of voltage and an rms value of current is defined as the equivalent to electric power.
BASIC5000_3669_hint1|アーチの美しい曲線と、長大な橋梁を支えるにもかかわらず、軽やかさを感じさせるデザインは、周辺の景観に調和し、明礬温泉のシンボル的存在となっている。|アーチが美しい|Supporting the curve of a beautiful arch and the long and big bridge, the design has lightness and harmonizes with the surrounding landscape. It became a symbol of Myoban Onsen.
BASIC5000_3669_hint2|アーチの美しい曲線と、長大な橋梁を支えるにもかかわらず、軽やかさを感じさせるデザインは、周辺の景観に調和し、明礬温泉のシンボル的存在となっている。|アーチの曲線|Supporting the beautiful curve of the arch and the long and big bridge, the design has lightness and harmonizes with the surrounding landscape. It became a symbol of Myoban Onsen.
BASIC5000_3681_hint1|臨時のシェフとして、併設されているカフェで働いている。|臨時のシェフとして併設されている|I work at the café, which has been established attached to the building as a temporary chef.
BASIC5000_3681_hint2|臨時のシェフとして、併設されているカフェで働いている。|臨時のシェフとして働いている|I work as a temporary chef at the café which has been established attached to the building.
BASIC5000_3686_hint1|ナーシェンが出すはずだった竜騎士の援軍が来なかったため、立ち往生していた。|ナーシェンが出すはずだった竜騎士|Dragon knights that Nachen should have sent as reinforcements did not come, so we could not do anything.
BASIC5000_3686_hint2|ナーシェンが出すはずだった竜騎士の援軍が来なかったため、立ち往生していた。|ナーシェンが出すはずだった援軍|The reinforcements of dragon knights that Nachen should have sent did not come, so we could not do anything.
BASIC5000_3689_hint1|戦いの中でキン肉マンは、黒後家蜘蛛の呪いを解除するが、キン肉マンは、正義超人のイメージを覆す指折り、マスク剥ぎなど裏技を乱発。|イメージを覆す指折り|During the fight, Kinniku Man broke the spell of black windows. He used any means such as breaking finger bones, a good super hero should not do, and taking off a mask.
BASIC5000_3689_hint2|戦いの中でキン肉マンは、黒後家蜘蛛の呪いを解除するが、キン肉マンは、正義超人のイメージを覆す指折り、マスク剥ぎなど裏技を乱発。|イメージを覆す裏技|During the fight, Kinniku Man broke the spell of black windows. He used any means that a good super hero should not do, such as breaking finger bones and taking off a mask.
BASIC5000_3710_hint1|ちーちゃんが危ういと、主人公に忠告した。|ちーちゃんが危うい|I advised the hero that Chi-chan is in danger.
BASIC5000_3710_hint2|ちーちゃんが危ういと、主人公に忠告した。|ちーちゃんが忠告した|Chi-chan advised the hero that it is dangerous.
BASIC5000_3711_hint1|現代においても多連装ロケット砲は、既に混乱していたり、統率の取れていない、敵部隊の士気を劇的に低下させる効果のある兵器として評価されている。|低下させる効果|In modern times, when enemies are already confused or have lost their leadership, a multiple rocket launch system is evaluated as a weapon having effects of reducing the morale of enemies significantly.
BASIC5000_3711_hint2|現代においても多連装ロケット砲は、既に混乱していたり、統率の取れていない、敵部隊の士気を劇的に低下させる効果のある兵器として評価されている。|低下させる兵器|In modern times, when enemies are already confused or have lost their leadership, a multiple rocket launch system is evaluated as an effective weapon to reduce the morale of enemies significantly.
BASIC5000_3724_hint1|法華宗真門流の寺院に関するカテゴリ。|法華宗真門流の寺院|It is a category of the Hokke sect Shinmon school related to temples.
BASIC5000_3724_hint2|法華宗真門流の寺院に関するカテゴリ。|法華宗真門流のカテゴリ|It is a category related to temples of the Hokke sect Shinmon school.
BASIC5000_3727_hint1|コロニス族の中で最も大きい小惑星であり、コロニス族の他の小惑星は、かつてこの小惑星に衝突が起こって砕けた時の破片だろうと考えられている。|コロニス族の他＝コロニス族以外|It is the biggest minor planet in Koronis, and minor planets other than Koronis are considered as fragments caused by a crash long time ago.
BASIC5000_3727_hint2|コロニス族の中で最も大きい小惑星であり、コロニス族の他の小惑星は、かつてこの小惑星に衝突が起こって砕けた時の破片だろうと考えられている。|コロニス族の小惑星|It is the biggest minor planet in Koronis, and other minor planets of Koronis are considered as fragments caused by a crash long time ago.
BASIC5000_3735_hint1|好き嫌いが激しすぎて、嫌いな相手の話をする際、唾を吐き捨てるという名門貴族の令嬢に相応しからぬ下品な行為が多々ある。|唾を吐き捨てるという名門貴族|She has strong likes and dislikes, so when talking about a person that she dislikes, she, a lady of renowned aristocracy that spits, often behaves rudely.
BASIC5000_3735_hint2|好き嫌いが激しすぎて、嫌いな相手の話をする際、唾を吐き捨てるという名門貴族の令嬢に相応しからぬ下品な行為が多々ある。|唾を吐き捨てるという行為|She has strong likes and dislikes, so when talking about a person that she dislikes, she behaves rudely, such as spitting, which should not be done by a renowned aristocracy lady.
BASIC5000_3745_hint1|交渉のために丸腰になって防弾チョッキすら身に着けていない状態で近寄ってきた警官に向かって何度も銃を乱射したり、事あるごとに銃を振り回す危ない男。|身につけていない状態で近寄ってきた|The dangerous man wielded a gun and shot at a policeman without a weapon and a bulletproof jacket approaching for negotiation with him.
BASIC5000_3745_hint2|交渉のために丸腰になって防弾チョッキすら身に着けていない状態で近寄ってきた警官に向かって何度も銃を乱射したり、事あるごとに銃を振り回す危ない男。|身につけていない状態で乱射した|To negotiate, the dangerous man had no weapon or bulletproof jacket and wielded a gun and shot at a policeman approaching him.
BASIC5000_3758_hint1|他チームの鋭い変化球を崩す手段として、様々な打法も編み出されている。|他チームが鋭い|As means against other sharp teams' breaking balls, various batting methods are created.
BASIC5000_3758_hint2|他チームの鋭い変化球を崩す手段として、様々な打法も編み出されている。|他チームの変化球|As means against other teams' sharp breaking balls, various batting methods are created.
BASIC5000_3799_hint1|スポーツ新聞の競馬欄によく掲載されている、独特の味がある文面の広告で知られる。|独特の味がある文面|It is known as an advertisement with unique messages that is frequently published in the horse racing section of a sport newspaper.
BASIC5000_3799_hint2|スポーツ新聞の競馬欄によく掲載されている、独特の味がある文面の広告で知られる。|文面の広告|It is known as a unique advertisement with messages that is frequently published in the horse racing section of a sport newspaper.
BASIC5000_3801_hint1|映画中の緊張度の高い場面間に、笑いを誘う場面を挟む手法、あるいは、その手法を担う俳優のことを指す。|映画中の緊張度|It means the method or the actor that makes a laugh between scenes with tension of the film.
BASIC5000_3801_hint2|映画中の緊張度の高い場面間に、笑いを誘う場面を挟む手法、あるいは、その手法を担う俳優のことを指す。|映画中の場面|It means the method or the actor that makes a laugh between scenes of the film when there is tension.
BASIC5000_3830_hint1|古くから養蜂されているハチを食害する、害鳥とみなされることもある。|古くから養蜂されている|In some cases, it is considered as a harmful bird eating bees that have been raised for a long time.
BASIC5000_3830_hint2|古くから養蜂されているハチを食害する、害鳥とみなされることもある。|古くからみなされる|In some cases, it is considered for a long time as a harmful bird eating bees that have been raised.
BASIC5000_3859_hint1|自らも不遇な環境に置かれていたため、困窮した生活や、人生の諦念、弱者や病気への苦しみなど、独特の倫理観で憐れみ、哀しみを詠った句が、多いのが特徴である。|憐れんで詠った|In regard to characteristics of his poems, he wrote sorrowful poems with pity about poor life, resignation for life, pains of vulnerable people, and suffering from diseases, which were based on his unique ethical view due to his own unfortunate life.
BASIC5000_3859_hint2|自らも不遇な環境に置かれていたため、困窮した生活や、人生の諦念、弱者や病気への苦しみなど、独特の倫理観で憐れみ、哀しみを詠った句が、多いのが特徴である。|憐れみと哀しみを詠った|In regard to characteristics of his poems, he wrote about the sorrow and pity of poor life, resignation for life, pains of vulnerable people and diseases, which were based on his unique ethical view due to his own unfortunate life.
BASIC5000_3862_hint1|世界を手中に収める為に、戦死した各国の兵士達で構成されている。|手中に収めるために戦死した|It consists of warriors of each country who passed away, aiming to control the world.
BASIC5000_3862_hint2|世界を手中に収める為に、戦死した各国の兵士達で構成されている。|手中に収めるために構成されている|To control the world, it consists of warriors of each country who passed away.
BASIC5000_3870_hint1|この偉大な運命というべき夢の極みにいたるとき、新しい時代が始まっているだろう。|偉大な運命|When reaching the peak of my dream, we should call it a great fortune; the new age will have already started.
BASIC5000_3870_hint2|この偉大な運命というべき夢の極みにいたるとき、新しい時代が始まっているだろう。|偉大な夢|When reaching the peak of my great dream, I should call it a fortune; the new age will have already started.
BASIC5000_3870_hint3|この偉大な運命というべき夢の極みにいたるとき、新しい時代が始まっているだろう。|偉大な極み|When reaching the great peak of my dream, I should call it a fortune; the new age will have already started.
BASIC5000_3885_hint1|蝦夷に籠もる旧幕府軍に対する攻撃の指揮を執る。|旧幕府軍に対する攻撃|It directs the attacks upon the former Shogunate army that stays in Ezo.
BASIC5000_3885_hint2|蝦夷に籠もる旧幕府軍に対する攻撃の指揮を執る。|旧幕府軍に対する指揮|It directs the former Shogunate army that stays in Ezo on the attacks.
BASIC5000_3910_hint1|人の母乳や牛乳などにも含まれるが、特に、サメの肝臓にもっとも多く含まれる。|[人の母乳]や[牛乳]|It is contained in human breast milk and cow milk, but it is contained most especially in shark livers.
BASIC5000_3910_hint2|人の母乳や牛乳などにも含まれるが、特に、サメの肝臓にもっとも多く含まれる。|人の[母乳や牛乳]|It is contained in breast milk and cow milk of humans, but it is contained most especially in shark livers.
BASIC5000_3911_hint1|またこの時、現役時代と遜色ない火事場のクソ力で炎のランタンを激しく燃え上がらせている。|遜色ない火事場|In addition, he burns the lantern of the flame strongly at the moment by using the fight-or-flight response at the scene of a fire like when he was young.
BASIC5000_3911_hint2|またこの時、現役時代と遜色ない火事場のクソ力で炎のランタンを激しく燃え上がらせている。|遜色ないクソ力|In addition, he burns the lantern of the flame strongly at the moment by using his fight-or-fight response like when he was young.
BASIC5000_3922_hint1|部族制をとる鮮卑にとって貴い血筋とは、各部族の族長級の者たちであり、また、戦乱の中で軍功を挙げた、功臣たちであった。|鮮卑にとって貴い|The Sien-pi people had a tribal system, and the noble families for them were top class people of each tribe and meritorious retainers who achieved distinguished services during the war.
BASIC5000_3922_hint2|部族制をとる鮮卑にとって貴い血筋とは、各部族の族長級の者たちであり、また、戦乱の中で軍功を挙げた、功臣たちであった。|鮮卑にとっては〜であった|They were noble for the Sien-pi people with a tribal system that the top class people of each tribe and meritorious retainers who achieved distinguished services during the war.
BASIC5000_3927_hint1|困っている人には手を差し伸べる、心の優しい人物。|手を差し伸べる心|He has kindness to help people who are in trouble.
BASIC5000_3927_hint2|困っている人には手を差し伸べる、心の優しい人物。|手を差し伸べる人物|He is a kind person, helping people who are in trouble.
BASIC5000_3934_hint1|そのとき、バイヨン寺院のかがやく青空に接した頂きから、自分を呼ぶ若々しい声を耳にした。|バイヨン寺院が輝く|At the moment, from the top of the shining Bayon temple in the blue sky, I heard a young person calling my name.
BASIC5000_3934_hint2|そのとき、バイヨン寺院のかがやく青空に接した頂きから、自分を呼ぶ若々しい声を耳にした。|バイヨン寺院の青空|At the moment, from the shining blue sky of the top of the Bayon temple, I heard a young person calling my name.
BASIC5000_3934_hint3|そのとき、バイヨン寺院のかがやく青空に接した頂きから、自分を呼ぶ若々しい声を耳にした。|バイヨン寺院の頂き|At the moment, from the top of the Bayon temple shining in the blue sky, I heard a young person calling my name.
BASIC5000_3944_hint1|レオナートは、棚上げになっていたエローとクラウディオの結婚を祝うために、仮面舞踏会を開催する。|棚上げになっていたエロー|Leonart gives a ball dance party to celebrate the marriage of Ello, who has been shelved, and Claudio.
BASIC5000_3944_hint2|レオナートは、棚上げになっていたエローとクラウディオの結婚を祝うために、仮面舞踏会を開催する。|棚上げになっていた結婚|Leonart is giving a ball dance party to celebrate Ello and Claudio’s marriage, which had been shelved.
BASIC5000_3966_hint1|ここはサウロンの王国の心臓部と言うべきものであり、彼の昔日の力の源でもある。|昔日の力|Here is the heart of the Saulon Kingdom and also the power of his old day source.
BASIC5000_3966_hint2|ここはサウロンの王国の心臓部と言うべきものであり、彼の昔日の力の源でもある。|昔日の源|Here is the heart of the Saulon Kingdom and also the source of his old day power.
BASIC5000_3966_hint3|ここはサウロンの王国の心臓部と言うべきものであり、彼の昔日の力の源でもある。|彼の昔日|Here is the heart of the Saulon Kingdom and also the power source of his old days.
BASIC5000_4027_hint1|通常、乾燥した気体として、窒素が用いられる。|通常乾燥している|Nitrogen is used as a gas that is generally drying.
BASIC5000_4027_hint2|通常、乾燥した気体として、窒素が用いられる。|通常用いられる|Nitrogen is used generally as a drying gas.
BASIC5000_4031_hint1|特に夏は圧巻で、美しい緑の木々で朱色の社殿が映える。|美しい緑|The vermillion color of the shrine stands out with the beautiful greenery, astonishing you especially in the summer.
BASIC5000_4031_hint2|特に夏は圧巻で、美しい緑の木々で朱色の社殿が映える。|美しい木々|The vermillion color of the shrine stands out with the beautiful trees with green colors, astonishing you especially in the summer.
BASIC5000_4037_hint1|硬貨の種類を限定することの利点として、重量のある硬貨の場合、貯金箱ごと重量を量ることで、ある程度の貯金金額を知る事ができる。|硬貨の中でも重量のあるもの|There is an advantage to specify the types of coins. By measuring the money box in which there are coins that are heavy, we can determine how much money is inside.
BASIC5000_4037_hint2|硬貨の種類を限定することの利点として、重量のある硬貨の場合、貯金箱ごと重量を量ることで、ある程度の貯金金額を知る事ができる。|硬貨は一般的に重量がある|There is an advantage to specify the types of coins. By measuring the money box in which there are heavy coins, we can determine how much money is inside.
BASIC5000_4059_hint1|手押し相撲ではアメリカ代表に惜敗、羽根突きでは日本代表がアメリカ代表が掟破りといえるスマッシュを繰り出すなどで苦しめられ完敗、しりとりは日本代表の完勝。|アメリカ代表が掟破り|In Teoshi Zumo (Pushing-hands sumo), the Japan team was defeated by team America. In Hane-tsuki (Japanese traditional tennis), the Japan team was also defeated completely by team America because the team went against the rules. Japanese players could not do anything about smashes that the American players hit. However, the Japan team won perfectly in Shiritori.
BASIC5000_4059_hint2|手押し相撲ではアメリカ代表に惜敗、羽根突きでは日本代表がアメリカ代表が掟破りといえるスマッシュを繰り出すなどで苦しめられ完敗、しりとりは日本代表の完勝。|アメリカ代表が繰り出す|In Teoshi Zumo (Pushing-hands sumo), the Japan team was defeated by team America. In Hane-tsuki (Japanese traditional tennis), the Japan team was also defeated completely by team America because the Japanese players could not do anything about the smashes that the American players hit, even though their smashes were against the rules. However, the Japan team won perfectly in Shiritori.
BASIC5000_4080_hint1|傲慢な性格で、プロになれる実力があると自負している。|傲慢な性格によってプロになる|With his arrogant personality, he is proud to be a professional.
BASIC5000_4080_hint2|傲慢な性格で、プロになれる実力があると自負している。|傲慢な性格ゆえに自負している|As he is arrogant, he is proud to be a professional.
BASIC5000_4134_hint1|現在でも、家の中央から見て鬼門にあたる方角には、玄関、便所、風呂、台所などの水を扱う場所を置くことを忌む風習が、全国に強く残っている。|〜などの水|Even now, many people do not want to locate the front door and domestic wet area, including the restroom, bathroom, and kitchen, at the unlucky direction from the center of the home across the nation.
BASIC5000_4134_hint2|現在でも、家の中央から見て鬼門にあたる方角には、玄関、便所、風呂、台所などの水を扱う場所を置くことを忌む風習が、全国に強く残っている。|〜などの場所|Even now, many people do not want to locate the domestic wet area, including the front door, restroom, bathroom, and kitchen, at the unlucky direction from the center of the home across the nation.
BASIC5000_4176_hint1|クリスマスの夜、ディナーと椅子に縛りつけたマルクを前にしたバルテルは、意識の混濁しているマルクを他所に満足げに愛を語る。|ディナーと椅子|On Christmas night, Barthel faced Marc, who was tied to a chair with Dinner. Even though Marc was not fully conscious, Barthel ignored his condition and talked about love.
BASIC5000_4176_hint2|クリスマスの夜、ディナーと椅子に縛りつけたマルクを前にしたバルテルは、意識の混濁しているマルクを他所に満足げに愛を語る。|ディナーとマルク|On Christmas night, Barthel faced Dinner and Marc, who was tied to a chair. Even though Marc was not fully conscious, Barthel ignored Marc's condition and talked about love.
BASIC5000_4187_hint1|鋭い嗅覚、物怖じしない性格、人を喰ったような掴みどころのない雰囲気、そして、鋭い洞察力を備える。|人を喰ったような掴みどころ|He is not shy and has a keen sense of smell. His character is elusive like an insolent attitude; however his perspective is great.
BASIC5000_4187_hint2|鋭い嗅覚、物怖じしない性格、人を喰ったような掴みどころのない雰囲気、そして、鋭い洞察力を備える。|人を喰ったような雰囲気|He is not shy and has a keen sense of smell. He has an insolent attitude and his character is elusive; however, his perspective is great.
BASIC5000_4245_hint1|家屋の敷地内には、土地神を祭る祠を建て、穀物や、香辛料を育てる家庭菜園もある。|穀物や香辛料|A small shrine, sacred for the guardian god of the land, was built within the premises of the house, and there is a vegetable garden to grow grains and spices.
BASIC5000_4245_hint2|家屋の敷地内には、土地神を祭る祠を建て、穀物や、香辛料を育てる家庭菜園もある。|穀物や家庭菜園|A small shrine, sacred for the guardian god of the land, was built within the premises of the house, and there are grains and a vegetable garden to grow spices.
BASIC5000_4262_hint1|地層を構成する粒子間の間隙の大小で規定される。|地層を構成する粒子|It is regulated by the size of space between particles composing stratum.
BASIC5000_4262_hint2|地層を構成する粒子間の間隙の大小で規定される。|地層を構成する間隙|It is regulated by the size of the space composing stratum between particles.
BASIC5000_4279_hint1|結局、次男と次女は恋仲になり、長男、長女もまたくっついて、ハッピーエンドとなる。|また(再度/again)|At last, the second oldest son and the second oldest daughter love each other, and the oldest son and the oldest daughter love each other again, which brings a happy ending.
BASIC5000_4279_hint2|結局、次男と次女は恋仲になり、長男、長女もまたくっついて、ハッピーエンドとなる。|また(also)|At last, the second oldest son and the second oldest daughter love each other, and also the oldest son and the oldest daughter love each other, which brings a happy ending.
BASIC5000_4285_hint1|これは、釈迦が悟りを求めて修行中に悪魔の誘惑を受けたが、これを退けたという伝説に由来するもので、煩悩に屈しない、堅固な決意を示す。|悟りを求めて修行中|This was derived from the legend of Buddha. When he was practicing asceticism to obtain enlightenment, he resisted the temptation of a demon. That is why this represents a strong determination that does not give in to temptation.
BASIC5000_4285_hint2|これは、釈迦が悟りを求めて修行中に悪魔の誘惑を受けたが、これを退けたという伝説に由来するもので、煩悩に屈しない、堅固な決意を示す。|悟りを求めて誘惑を受けた|This was derived from the legend of Buddha. When he was tempted by a demon to obtain enlightenment while practicing asceticism, he resisted the temptation of the demon. That is why this represents a strong determination that does not give in to temptation.
BASIC5000_4285_hint3|これは、釈迦が悟りを求めて修行中に悪魔の誘惑を受けたが、これを退けたという伝説に由来するもので、煩悩に屈しない、堅固な決意を示す。|悟りを求めて退けた|This was derived from the legend of Buddha. When he was tempted by a demon while practicing asceticism, he resisted the temptation of the demon to obtain enlightenment. That is why this represents a strong determination that does not give in to temptation.
BASIC5000_4292_hint1|ただし、中国茶に近い製法をとる、釜炒り茶もある。|釜炒り茶の中でも中国茶に近いもの|However, some types of kamairi-cha (roasted green tea with an iron pot) have a similar production method to that of Chinese tea.
BASIC5000_4292_hint2|ただし、中国茶に近い製法をとる、釜炒り茶もある。|釜炒り茶は一般的に中国茶に近い|However, kamairi-cha (roasted green tea with an iron pot) has a similar production method to that of Chinese tea.
BASIC5000_4295_hint1|もともと旧家で無知な人形のように育てられたが、忍によってその境遇から解放された後、いろいろと余計なことを覚えて現在の性格ができあがった。|旧家で無知|Originally, he was raised like an old family and an ignorant doll; however, after being released from such environment by Shinobu, he learned unnecessary things; that is why his personality has been created like this.
BASIC5000_4295_hint2|もともと旧家で無知な人形のように育てられたが、忍によってその境遇から解放された後、いろいろと余計なことを覚えて現在の性格ができあがった。|旧家で育てられた|Originally, he was raised like an ignorant doll in an old family; however, after being released from such environment by Shinobu, he learned unnecessary things; that is why his personality has been created like this.
BASIC5000_4307_hint1|その溝に取り付けるアタッチメントを使う事で、木製の壁面だけでなく、ファブリック、ガラスやアクリルなどの壁面を作ることも可能。|その溝|By using an attachment to be fitted into the groove, we can make fabric, glass, or an acryl wall as well as a wooden wall.
BASIC5000_4307_hint2|その溝に取り付けるアタッチメントを使う事で、木製の壁面だけでなく、ファブリック、ガラスやアクリルなどの壁面を作ることも可能。|そのアタッチメント|By using that attachment to be fitted into a groove, we can make fabric, glass, or an acryl wall as well as a wooden wall.
BASIC5000_4330_hint1|オープンカーならではの駐車時の安全、盗難対策として、ハンドルロックと、グローブボックスの鍵が備わる。|[ハンドルロックとグローブボックス]の鍵|As a countermeasure, there are keys for a handle lock and glovebox to ensure safety while parking and to prevent theft, which are necessary for convertible cars.
BASIC5000_4330_hint2|オープンカーならではの駐車時の安全、盗難対策として、ハンドルロックと、グローブボックスの鍵が備わる。|[ハンドルロック]と[グローブボックスの鍵]|As a countermeasure, there are a handle lock and a key for the glovebox to ensure safety while parking and to prevent theft, which are necessary for convertible cars.
